"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","PEM750V017PGKC","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","17.01","4","10","0","2","0"
"1","EN14511_2_001","17.30","5","10","0","2","0"
"1","EN14511_2_002","3.73","4","10","0","2","0"
"1","EN14511_2_002","5.64","5","10","0","2","0"
"1","EN14511_2_003","4.57","4","10","0","2","0"
"1","EN14511_2_003","3.07","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","63","4","3","0","2","0"
"1","EN12102_1_002","63","5","3","0","2","0"
"1","EN14825_001","192","4","3","0","2","0"
"1","EN14825_001","141","5","3","0","2","0"
"1","EN14825_002","14.71","4","3","0","2","0"
"1","EN14825_002","14.85","5","3","0","2","0"
"1","EN14825_003","4.87","4","3","0","2","0"
"1","EN14825_003","3.61","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-25","4","3","0","2","0"
"1","EN14825_005","-25","5","3","0","2","0"
"1","EN14825_008","13.01","4","3","0","2","0"
"1","EN14825_008","13.14","5","3","0","2","0"
"1","EN14825_009","3.13","4","3","0","2","0"
"1","EN14825_009","2.31","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","7.97","4","3","0","2","0"
"1","EN14825_010","8.11","5","3","0","2","0"
"1","EN14825_011","4.83","4","3","0","2","0"
"1","EN14825_011","3.53","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","5.17","4","3","0","2","0"
"1","EN14825_012","5.25","5","3","0","2","0"
"1","EN14825_013","6.12","4","3","0","2","0"
"1","EN14825_013","4.57","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","5.81","4","3","0","2","0"
"1","EN14825_014","5.60","5","3","0","2","0"
"1","EN14825_015","8.32","4","3","0","2","0"
"1","EN14825_015","6.58","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","13.01","4","3","0","2","0"
"1","EN14825_016","13.14","5","3","0","2","0"
"1","EN14825_017","3.13","4","3","0","2","0"
"1","EN14825_017","2.31","5","3","0","2","0"
"1","EN14825_018","14.39","4","3","0","2","0"
"1","EN14825_018","14.79","5","3","0","2","0"
"1","EN14825_019","2.63","4","3","0","2","0"
"1","EN14825_019","1.94","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","75","4","3","0","2","0"
"1","EN14825_022","75","5","3","0","2","0"
"1","EN14825_023","13","4","3","0","2","0"
"1","EN14825_023","13","5","3","0","2","0"
"1","EN14825_024","15","4","3","0","2","0"
"1","EN14825_024","15","5","3","0","2","0"
"1","EN14825_025","13","4","3","0","2","0"
"1","EN14825_025","13","5","3","0","2","0"
"1","EN14825_026","80","4","3","0","2","0"
"1","EN14825_026","80","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.32","4","3","0","2","0"
"1","EN14825_028","0.06","5","3","0","2","0"
"1","EN14825_029","6244","4","3","0","2","0"
"1","EN14825_029","8502","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,400 kg","0","0","0","0"
"","Date","05.12.2024","0","0","0","0"
"","Manufacturer"," Kyung Dong Navien Co., Ltd.","0","0","0","0"
"","Modelname","Inverter Air to Water Heat Pump- R290- 17","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
